"LANGUAGE","Türkçe"
"ASSETS_LOADING_TIME","Özel öğeler yükleme süresi"
"MINUTES_SECONDS","dakika:saniye"
"TOTAL_LOADING_TIME","Toplam yükleme süresi"
"PEAK_MEMORY_USAGE","En yüksek bellek kullanımı"
"VIRTUAL_MEMORY","Sanal bellek"
"SHARING_OF_RESOURCES","Özel varlık kaynaklarının paylaşımı"
"TEXTURES","Dokular"
"TIMES","zaman"
"MATERIALS","Materyaller"
"MESHES","Ağlar"
"SKIPPED_PREFABS","Atlanan prefabrikler"
"BUILDING_PREFABS","Prefabrik bina"
"VEHICLE_PREFABS","Araç prefabrikleri"
"PROP_PREFABS","Dekor prefabs"
"ASSETS_BROWSER","Varlık Tarayıcı"
"ASSET_BUGS","Varlık hataları"
"ASSET_BUG","Varlık hatası"
"ASSET_USES_PRIVATE_ASSET","Atölye varlığı, özel varlığı kullanır"
"NO_LINK_IS_AVAILABLE","muhtemelen bir atölye dekoru veya ağacıdır, ancak bağlantı mevcut değildir."
"IS_POSSIBLY_DLC","muhtemelen DLC veya mod içeriğidir."
"SAME_ASSET_NAME","Aynı varlık adı"
"IN_ALL_OF_THESE","bunların hepsinde"
"NO_DUPLICATES","Kopya yok."
"PROBLEMS_WERE_DETECTED","Bu varlıklarda sorunlar tespit edildi."
"INVALID_LOD_TEXTURE_SIZE","Geçersiz LOD doku boyutu"
"ASSET_NAMING_CONFLICT","Öğe adlandırma çakışması"
"OBSERVATIONS_WERE_MADE","Bu varlıklar hakkında uyarılar yapıldı."
"VERY_LARGE_LOD_TEXTURE","Çok büyük LOD dokusu"
"YOU_HAVE","Var"
"DOES_NOT_CONTAIN","ama içermiyor"
"NAME_PROBABLY_CHANGED","İsim değişti galiba"
"BY_THE_AUTHOR","varlık yazarı tarafından."
"VERY_LARGE_LOD_MESH","Çok büyük LOD ağı"
"BUILDINGS_AND_PARKS","Binalar ve parklar"
"PROPS","Dekorlar"
"TREES","Ağaçlar"
"VEHICLES","Araçlar"
"CITIZENS","Vatandaşlar"
"NETS","Ağlar"
"NETS_IN_BUILDINGS","Binalarda ve parklarda ağlar"
"PROPS_IN_BUILDINGS","Binalardaki, parklardaki ve ağlardaki aksesuarlar"
"TREES_IN_BUILDINGS","Binalardaki, parklardaki ve ağlardaki ağaçlar"
"AS_YOU_KNOW","#Bildiğiniz gibi LSM, yükleme ekranında ve Varlıklar raporunda eksik ve yinelenen varlıkları bildirir."
"USING_THIS_FILE","#Bu dosyayı kullanarak, isterseniz bazı varlıkları raporlamayı durdurabilirsiniz."
"THESE_ARE_NOT_REPORTED","#Bu varlıklar raporlanmaz. Bir varlığı tekrar bildirmek için hashtag'ini geri koyun veya satırı kaldırın."
"LSM_REPORTED_THESE","#LSM bu varlıkları bildirdi. Bunları bildirmeyi durdurmak için hashtag'leri kaldırmanız yeterlidir."
"REPORTED_MISSING","#Eksik bildirildi."
"REPORTED_DUPLICATE","#Yinelenen rapor edildi."
"GO_AHEAD","#Devam et ve bazı eksik varlıklara sahip bir kayıtlı oyun yükle, ardından bu dosyayı tekrar aç."
"INCOMPATIBLE_VERSION","Mod versiyonu oyun versiyonu ile uyumsuz"
"LOADING_OPTIONS_FOR_ASSETS","Özel varlıklar için yükleme seçenekleri"
"CUSTOM_MEANS","Özel, atölye varlıkları ve sizin tarafınızdan oluşturulan varlıklar anlamına gelir"
"LOAD_ENABLED_ASSETS","Etkinleştirilmiş varlıkları yükle"
"LOAD_ENABLED_IN_CM","Content Manager'da etkinleştirilen varlıkları yükleyin"
"LOAD_USED_ASSETS","Kullanılan varlıkları yükle"
"LOAD_USED_IN_YOUR_CITY","Şehrinizde kullanılan varlıkları yükleyin"
"SHARE_TEXTURES","Dokuları paylaşın"
"REPLACE_DUPLICATES","Tam kopyaları referanslarla değiştirin"
"SHARE_MATERIALS","Materyalleri paylaşın"
"SHARE_MESHES","Paylaşılan eşleşmeler"
"OPTIMIZE_THUMBNAILS","Küçük resimleri optimize et"
"OPTIMIZE_TEXTURES","Öğe varlık yıpranmaları ve araç ipucu dokularını optimize edin"
"REPORTING","Raporlama"
"SAVE_REPORTS_IN_DIRECTORY","Raporları bu dizine kaydedin:"
"OPEN_DIRECTORY","Açık sözlük"
"SAVE_REPORTS_OF_ASSETS","Eksik, başarısız ve kullanılmış varlıkların raporlarını kaydedin"
"CHECK_FOR_ERRORS","Varlıklarda hata olup olmadığını kontrol edin"
"DO_NOT_REPORT","Raporlama engelleme"
"DO_NOT_REPORT_THESE","Bu özel varlıkları eksik veya kopya olarak bildirmeyin:"
"DO_NOT_REPORT_THESE_TOOLTIP","Bu seçildiğinde, listelenen özel varlıklar, eksik veya yinelenen varlık raporlarına dahil edilmeyecektir."
"OPEN_FILE","Metin dosyasını aç"
"CLICK_TO_OPEN","Açmak için tıklayın"
"PREFAB_SKIPPING","Prefabrik atlama"
"PREFAB_MEANS","Prefabrik, oyundaki yerleşik varlıklar anlamına gelir"
"SKIP_THESE","Bu dosyada adı geçen prefabrikleri atlayın:"
"RESET_FILE_LOCATION","Reset file location"
"SAFE_MODE","Bir sonraki kaydı Güvenli Mod'da yükle"
"AUTOMATICALLY_DISABLED","Masaüstüne çıktığınızda bu seçenekler otomatik olarak devre dışı bırakılır"
"REMOVE_VEHICLE_AGENTS","Tüm sahte araçları kaldır"
"REMOVE_CITIZEN_AGENTS","Tüm sahte vatandaşları kaldır"
"TRY_TO_RECOVER","Simülasyon Hatalarından kurtulmaya çalışın"
"RECOVER_NETS","Kayıp ağlardan kurtarmayı deneyin"
"NAME","İsim"
"TYPE","Tür"
"STATUS","Durum"
"WORKSHOP_ID","Atölye ID"
"DATE","Tarih"
"SIZE","Boyut"
"USES_COUNT","'Kullanım' sayısı"
"USED_BY_COUNT","'Kullanan' sayısı"
"TYPE_AND_STATUS","Tip ve Durum"
"TYPE_AND_SIZE","Tür ve Boyut"
"TYPE_AND_USED_BY_COUNT","Tür ve 'Kullanan' sayısı"
"STATUS_AND_USED_BY_COUNT","Durum ve 'Kullanan' sayısı"
"USED_BY_COUNT_AND_SIZE","'Kullanan' sayısı ve Boyut"
"USED_IN_CITY","Şehirde kullanılan"
"USED_IN_CITY_AND_SIZE","Şehirde ve Boyutta kullanılan"
"WORKSHOP_ITEM","Atölye öğesi"
"USED_BY","dan kullanılan"
"ORDER_BY","dan sipariş"
"FIND_ASSETS","Öğeleri bulun"
"TRIANGLES","üçgenler"
"VERTICES","köşeler"
"LONG_NAME","<long name>"
"CUSTOM_ASSETS","Özel Varlıklar"
"ENABLING_AND_DISABLING","Varlıkları etkinleştirme ve devre dışı bırakma"
"EXTREMELY_LARGE_LOD_MESH","Son derece geniş LOD ağı"
"PER_SECOND","her saniye"
"CHOOSE_LANGUAGE","Dil seçiniz"
"OPTIONS_REPORTING","Raporlama"
"OPTIONS_GENERAL","Genel"
"OPTIONS_IMAGE","Resim yükleniyor"
"DEFAULT_BACKGROUND","Varsayılan oyun yükleme ekranı arka planını kullan"
"WARN_DUPLICATES","Yinelenen varlıkları göster"
"WARN_DUPLICATES_TIP","Yükleme ekranı görüntüsünde yinelenen varlık adlarını görüntüleyin (yinelenen ağ yükseklikleri her zaman gösterilecektir)."
"DUPLICATE_NAMES_EXPLAIN_1","Çoğu durumda, yinelenen adlar uygundur; kopyaları kullanmak bellekten tasarruf sağlayabilir ve yüklemeyi hızlandırabilir."
"DUPLICATE_NAMES_EXPLAIN_2","Ancak, bazı yinelemeler (ör. ağ yükseltmeleri) sorunlara neden olabilir."
"ELAPSED_TIME","Geçen zaman","Title for timer display on loading screen."
"MEM_USE","Bellek kullanımı","Title for memory usage stat display on loading screen."
"GAME_RAM_USE","Oyun RAM kullanımı","Line item for memory usage stat display on loading screen."
"GAME_PAGE_USE","Oyun sayfa dosyası kullanımı","Line item for memory usage stat display on loading screen."
"GAME_EXTRA_USE","Game allocated paging","Line item for memory usage stat display on loading screen."
"SYS_RAM_USE","Sistem RAM kullanımı","Line item for memory usage stat display on loading screen."
"SYS_PAGE_USE","Sistem sayfa dosyası kullanımı","Line item for memory usage stat display on loading screen."
"SYS_EXTRA_USE","System allocated paging","Line item for memory usage stat display on loading screen."
"SIMULATION_FAILED","Simülasyon başarısız oldu","Message displayed when simulation thread fails."
"WRONG_VERSION","Loading Screen Mod Revisited bu oyun sürümüyle uyumlu değil.","Warning displayed on startup if an incompatible game version is detected"
"SHUT_DOWN","Bir güvenlik önlemi olarak mod kapandı ve çalışmayacak.","Warning displayed on startup if an incompatible game version is detected"
"IMAGE_SOURCE","Arka plan görüntüsü","Group title in options panel."
"IMGUR_TOP","Imgur.com'dan rastgele yükleme ekranı arka planı"
"IMGUR_TOP_TIP","İmgur.com'da /r/CitiesSkylines'ın en iyi görüntülerinden yükleme ekranı arka planını rastgele seçmek için bunu etkinleştirin"
"IMGUR_CURATED","Imgur.com'dan seçilmiş yükleme ekranı arka planı"
"IMGUR_CURATED_TIP","Yükleme ekranı arka planını imgur.com'daki /r/CitiesSkylines'tan seçilmiş resimlerin oluşturduğu bir listeden rastgele seçmek için bunu etkinleştirin"
"CLASSIC_IMAGE","Classic loading image"
"CLASSIC_IMAGE_TIP","Enable this to use classic loading images from the original version of the game (a different imaage for each map theme)"
"LOCAL_IMAGE","Yerel dizinden rastgele görüntü:"
"LOCAL_IMAGE_TIP","Belirtilen dizindeki .jpg veya .png resim dosyalarından yükleme ekranı arka planını rastgele seçmek için bunu etkinleştirin"
"IMAGE_SCALE","Arka plan görüntüsü ölçeklendirme","Group title in options panel."
"IMAGE_FIT","Tüm görüntüyü ekrana sığdır (posta kutusu)","Background image scaling option in options panel."
"IMAGE_CROP","Resmi tüm ekranı kaplayacak şekilde büyütün (yakınlaştırın ve kırpın)","Background image scaling option in options panel."
"IMAGE_STRETCH","Görüntüyü ekrana sığacak şekilde uzatın (görüntüyü bozun)","Background image scaling option in options panel."
"IMAGE_TEXT","Ekran metni seçenekleri yükleniyor","Group title in options panel."
"TEXT_SIZE","Yazı Boyutu","Loading screen text option in options panel."
"OVERLAY_ALPHA","Metin yerleşimi saydamlığı","Loading screen text option in options panel."
